Account_number,PORTFOLIO,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,Account Open Date,Loan_amount,Loan_status,Last_payment_date,Origination_fico_score,Current_fico_score,Current_outstanding,Current_outstanding_v1,Loan_amount_v1
38673575,CREDIT CARD,640-29-9264,405-775-9884,Bromide,Johnston,Bromide,OK,74530,South,13-03-2018,"$40,169",Non-Default,27-11-2020,732,779,"$1,607",1607,40169
38673576,PERSONAL LOAN,375-37-8517,212-786-7533,Reading Center,Schuyler,Reading Center,NY,14876,Northeast,23-06-2019,"$1,87,055",Non-Default,24-08-2021,877,877,"$1,871",1871,187055
38673577,PERSONAL LOAN,073-02-5563,385-775-0225,Ibapah,Tooele,Ibapah,UT,84034,West,08-09-2019,"$1,29,073",Non-Default,10-04-2021,875,881,"$16,779",16779,129073
38673578,MORTGAGE,106-98-7919,216-984-8974,Wickliffe,Lake,Wickliffe,OH,44092,Midwest,20-11-2020,"$4,28,500",Non-Default,08-01-2021,708,757,"$1,45,690",145690,428500
38673579,CREDIT CARD,753-07-4655,217-307-8597,Forrest,Livingston,Forrest,IL,61741,Midwest,20-06-2018,"$71,859",Non-Default,24-08-2021,714,708,"$16,528",16528,71859
38673580,MORTGAGE,770-02-0049,201-312-1614,Highland Lakes,Sussex,Highland Lakes,NJ,7422,Northeast,26-06-2020,"$5,61,395",Non-Default,24-08-2021,812,861,"$1,34,735",134735,561395
38673581,CREDIT CARD,090-02-6498,339-289-4655,Newton,Middlesex,Newton,MA,2195,Northeast,07-06-2020,"$31,419",Non-Default,02-12-2020,703,732,"$1,885",1885,31419
38673582,PERSONAL LOAN,390-33-0765,218-314-7370,Minneapolis,Anoka,Minneapolis,MN,55448,Midwest,24-08-2021,"$1,54,338",Default,03-04-2021,768,764,"$27,781",27781,154338
38673583,CREDIT CARD,276-17-0083,209-252-3832,Pico Rivera,Los Angeles,Pico Rivera,CA,90662,West,19-04-2021,"$27,526",Default,10-05-2021,854,860,"$3,303",3303,27526
38673584,MORTGAGE,677-22-7228,307-872-6444,Casper,Natrona,Casper,WY,82601,West,20-10-2018,"$5,84,738",Non-Default,24-08-2021,878,911,"$1,75,421",175421,584738
